,Point:0,Point:1,Point:2,T
2412,0.6201,-0.105,0.055392,694.85
2413,4.6182,-0.031134,-0.020935,268.68
2414,0.34131999999999996,0.041141000000000004,0.00019548,680.28
2415,2.7726,0.027897,0.016279,327.3
2416,0.18258,-0.049091,-0.02967,604.93
2417,0.44952,-0.020418000000000002,-0.059725,691.26
2418,0.32946,-0.011333,0.018477,677.16
2419,0.62108,0.0072540999999999994,-0.13047,694.61
2420,0.49593000000000004,0.077049,-0.13316,693.68
2421,2.1669,0.031725,-0.019681999999999998,376.83
2422,3.0927,-0.025331,-0.043581,305.16
2423,1.5245,0.031398,-0.0046648,509.9
2424,0.18397,-0.056424,0.021404,606.74
2425,4.314,0.0015356,-0.037704,273.09
2426,4.3032,0.0007218,-0.041604,271.66
2427,4.2982,0.005719,-0.039796,272.65
2428,0.44435,0.14357,-0.0077251,691.88
2429,1.5433,0.050121,-0.0098837,429.08
2430,2.5332,0.019006,0.00070088,349.51
2431,3.6797,-0.061583000000000006,-0.028629,285.65
2432,0.73787,0.1004,0.011897,664.88
2433,2.2403,-0.023144,-0.0023001,377.63
2434,0.52277,-0.0040011,-0.1099,695.62
2435,1.9708,-0.029791,-0.00081954,413.68
2436,0.9845299999999999,-0.023706,0.049476,482.11
2437,3.9052,0.0015252,-0.016640000000000002,286.25
2438,1.0094,0.037817,0.015676,608.22
2439,2.0973,-0.015444999999999999,-0.041494,364.89
2440,0.23488,0.10805,-0.039307999999999996,652.11
2441,0.93273,-0.061052999999999996,-0.0097895,542.11
2442,0.59936,0.12061,0.032146,695.59
2443,4.0272,-0.048412000000000004,0.02779,279.68
2444,4.0349,-0.037827,0.018194,280.5
2445,4.0291,-0.041129,0.017725,280.25
2446,0.44865,-0.057710000000000004,-0.034237000000000004,691.02
2447,0.44482,-0.070778,-0.031988,690.86
2448,0.4456,-0.051812000000000004,-0.034038,690.57
2449,4.3564,0.036196,-0.035578,269.87
2450,4.3654,0.024213,-0.032211000000000004,270.67
2451,1.44,-0.00058509,0.033964,518.26
2452,4.1617,0.015088999999999998,0.034338,278.88
2453,3.0046,-0.04782,0.022068,312.03
2454,3.0056,-0.040129000000000005,0.031406,312.17
2455,3.0042,-0.045186000000000004,0.042687,307.09
2456,0.18444000000000002,0.045821,0.015271000000000002,607.3
2457,0.64172,0.072241,-0.10872000000000001,691.4
2458,1.746,-0.01926,0.021184,454.1
2459,1.7667,-0.01085,0.00099012,474.68
2460,3.5441,-0.022738,-0.030610000000000002,293.3
2461,4.6731,-0.0048562,-0.015053,267.77
2462,4.6795,-0.011113,-0.019027000000000002,267.76
2463,4.6766,-0.022259,-0.018328999999999998,267.85
2464,0.94971,-0.022065,-0.028301,650.97
2465,0.9593799999999999,-0.01974,-0.038902,628.08
2466,0.19145,0.018015,-0.061979,615.2
2467,2.989,0.05259199999999999,-0.029345,309.74
2468,2.9815,0.063472,-0.023063999999999998,304.61
2469,2.9905,0.051441999999999995,-0.021928,310.66
2470,0.47326999999999997,-0.13402,0.056188,694.12
2471,3.6057,-0.048744,5.8671e-05,289.43
2472,3.6124,-0.05511,0.016172,287.57
2473,0.36799,-0.089303,0.019691,683.54
2474,0.49716000000000005,0.1215,-0.073712,694.18
2475,4.191,-0.055902999999999994,0.035368000000000004,275.57
2476,3.5616,-0.054939999999999996,0.025539,288.03
2477,0.55888,0.12025999999999999,0.0621,696.19
2478,2.3099,-0.022688999999999997,0.049727,335.64
2479,2.3053,-0.029700999999999998,0.03766,343.21
2480,2.3053,-0.035974,0.036659,339.3
2481,3.0675,-0.008328700000000001,0.044262,309.55
2482,1.9413,0.011156000000000001,0.0317,403.57
2483,0.51223,0.076657,0.071372,695.57
2484,0.46653999999999995,0.10804000000000001,-0.024796000000000002,691.68
2485,0.6803100000000001,0.10977,-0.024092,691.95
2486,0.54483,-0.12380999999999999,0.051041,695.34
2487,2.2629,0.024701,0.0081057,374.92
2488,4.118,-0.0082602,0.024753999999999998,279.64
2489,3.352,-0.010313,-0.021082,302.16
2490,0.6544300000000001,0.020707,-0.12025999999999999,693.58
2491,0.47657,0.080752,-0.055338,693.63
2492,3.0604,-0.035302,-0.041128,307.22
2493,3.0704,-0.023278,-0.038409,307.12
2494,3.0511,-0.026762,-0.034214,308.45
2495,0.36095,-0.078561,0.066219,686.09
2496,0.53273,-0.10192000000000001,0.073376,695.66
2497,3.7071,-0.034092000000000004,0.008716,288.02
2498,0.28065,0.0032851,-0.089681,668.84
2499,0.5182899999999999,0.046501999999999995,0.11997999999999999,695.74
2500,0.46729,0.021841,-0.011732,693.0
2501,0.9646399999999999,0.028623000000000003,0.031335,625.99
2502,2.7441,0.036976,0.020459,320.88
2503,0.54401,-0.049142,-0.10303,695.67
2504,3.5051,-0.021825,-0.048998,293.36
2505,3.5051,-0.038603,-0.043864,291.8
2506,3.1444,-0.0057740000000000005,-0.025186,309.0
2507,3.9888,0.044193,0.024418000000000002,281.97
2508,1.6293,0.042327,-0.0007604,451.3
2509,0.6793899999999999,0.056907000000000006,-0.10453,681.18
2510,0.36709,0.07682,-0.056464999999999994,684.56
2511,0.23404,-0.090972,-0.088326,665.6
2512,4.3954,0.031725,-0.031108999999999998,270.14
2513,0.41173999999999994,0.0031749,-0.030295999999999997,688.75
2514,2.5774,-0.007049600000000001,0.021068,342.74
2515,2.2724,0.026853,0.040542,354.75
2516,3.8381,0.040438,0.026458,285.25
2517,0.6662100000000001,-0.078211,0.048199,693.15
2518,1.0662,-0.013252000000000002,0.016452,639.5
2519,1.3584,-0.016475999999999998,-0.049054,432.99
2520,0.53775,-0.055071,0.052820000000000006,696.54
2521,0.22179000000000001,0.035762999999999996,0.0017625,642.67
2522,2.5309,0.0022713,-0.047309,333.18
2523,2.5258,0.012295,-0.04621,329.71
2524,2.5372,0.0046103,-0.040612,336.39
2525,4.3292,0.030342,-0.00030493,273.64
2526,1.1724,0.035649,0.0064673000000000005,591.52
2527,2.1032,0.021315,-0.043601999999999995,359.23
2528,0.30559000000000003,0.11857999999999999,0.03709,680.64
2529,2.1817,-0.006698000000000001,0.040548,362.94
2530,2.0373,0.054259,-0.010792,360.1
2531,2.0326,0.04798,0.00021206,373.28
2532,2.0216,0.049027,-0.0016271,369.18
2533,0.27773000000000003,0.09652000000000001,0.0021933000000000005,662.31
2534,2.4394,0.0013904000000000002,0.033774,347.83
2535,2.201,0.025833999999999996,-0.010393000000000001,373.92
2536,1.6545,0.02286,0.017373,475.84
2537,0.2601,-0.013652000000000001,0.017373,657.66
2538,0.26121,-0.0013529000000000002,0.016424,657.75
2539,0.25498000000000004,-0.010206,0.030518,655.7
2540,0.3951,-0.13623,0.016734,693.83
2541,0.44769,-0.013893,-0.041949,690.96
2542,0.45948,-0.016936,-0.046813,691.84
2543,0.45783999999999997,-0.0207,-0.042234,691.67
2544,3.4035,-0.036581,-0.019761,298.24
2545,0.24679,0.12261,-0.033868999999999996,658.35
2546,4.7609,-0.0074782,-0.040581,265.23
2547,0.6722100000000001,-0.11846,-0.024087,682.65
2548,2.2969,0.034113,-0.005035100000000001,359.67
2549,2.8711,-0.021711,-0.0054358,324.2
2550,0.34846,-0.10047,-0.066054,677.54
2551,0.43223,0.086983,-0.12059,693.71
2552,3.1979,-0.035177,-0.031238,302.84
2553,0.5474399999999999,-0.085397,-0.12924000000000002,696.78
2554,2.0325,-0.020455,-0.028724,394.94
2555,0.1902,-0.12000999999999999,0.026336000000000002,613.04
2556,0.2024,-0.11266,0.029712,623.89
2557,0.19960999999999998,-0.11903,0.034651,622.34
2558,2.6913,-0.030411,-0.037797000000000004,323.94
2559,0.40652,-0.09039900000000001,-0.003543,686.45
2560,0.70939,-0.04058,0.08407,689.84
2561,0.29051,-0.020849,-0.06924,668.59
2562,0.65427,-0.11404,-0.038794,693.83
2563,0.47903,0.028245999999999997,-0.045124,693.49
2564,0.47111000000000003,-0.0219,0.1344,693.4
2565,3.1094,0.036988,-0.0012019,310.36
2566,0.50258,-0.031849,-0.1115,695.09
2567,0.2976,-0.017873,-0.046017,671.64
2568,2.6951,-0.017847,-0.024869,332.61
2569,0.961,-0.052015,0.025549000000000002,506.09
2570,0.62274,-0.11119000000000001,-0.028038999999999998,695.59
2571,2.9886,-0.019097,-0.0021254,319.74
2572,0.8448,-0.016068,-0.051619000000000005,671.29
2573,4.3176,-0.008066199999999999,-0.0072347999999999996,275.4
2574,0.63185,0.092212,0.09587000000000001,693.24
