"Index","Points:0","Points:1","Points:2","T"
45168,0.1918,0.039057,0.12095999999999998,618.95
45190,0.19189,0.026113,0.08405499999999999,615.54
45193,0.19184,0.026087,0.094625,614.63
45200,0.18993,0.016236,0.078963,613.71
45208,0.1891,0.016880000000000003,0.10039,612.43
45243,0.18423,0.03805,0.10662999999999999,606.32
45257,0.18288,0.033222,0.11922999999999999,604.83
45263,0.18168,0.0093879,0.097295,603.29
45268,0.18149,0.040433,0.11520999999999999,602.91
45278,0.17982,0.038129,0.11740999999999999,601.21
30604,0.19262,-0.091535,0.045598,615.53
30609,0.19212,-0.10884,0.030847000000000003,614.34
30613,0.19182000000000002,-0.11805,0.017566,614.09
30614,0.1905,-0.090259,0.016257,615.1
30629,0.18921,-0.11425999999999999,0.0232,611.65
30630,0.18902,-0.0966,0.018425999999999998,611.68
30640,0.18773,-0.11917,0.023815,610.35
30649,0.1864,-0.090019,0.04947,608.67
30656,0.18513,-0.076413,0.022272,609.26
30660,0.18500999999999998,-0.1082,0.0096419,606.94
13880,0.19308,0.064898,-0.070454,619.32
13886,0.19268,0.031197000000000003,-0.075365,618.22
13888,0.19199000000000002,0.054241,-0.07539900000000001,618.02
13896,0.19165,0.051289,-0.099262,614.92
13911,0.18855999999999998,0.061360000000000005,-0.087545,612.97
13924,0.1866,0.037189,-0.075454,610.87
13925,0.18717,0.061859000000000004,-0.096569,609.95
13929,0.18664,0.059127,-0.074739,610.62
13934,0.18702,0.057023000000000004,-0.10715999999999999,609.47
13947,0.18520999999999999,0.049214999999999995,-0.067847,608.08
45194,0.19030999999999998,0.042373,0.080728,615.19
45196,0.18997,0.049324,0.07182999999999999,614.14
45212,0.18800999999999998,0.058638,0.096836,611.17
45222,0.1864,0.062461,0.10350999999999999,609.13
45227,0.18489,0.081465,0.098724,609.37
45242,0.18397,0.044974,0.077985,607.44
45244,0.18384,0.053639,0.08796699999999999,606.95
45247,0.18416,0.058022000000000004,0.10445,605.98
45254,0.18337,0.069009,0.099948,605.49
45277,0.18004,0.053479,0.10497999999999999,601.38
30594,0.19302,-0.057948,0.0052284,617.73
30607,0.19153,-0.06025,0.011561,616.26
30608,0.19071,-0.054898,0.02012,616.63
30617,0.19142,-0.033349000000000004,0.045919999999999996,613.78
30623,0.18952,-0.066238,0.013549,614.65
30634,0.18771,-0.066261,0.015031999999999998,612.53
30645,0.1867,-0.039546,0.023587,610.49
30647,0.18628,-0.051502,0.025906000000000002,610.44
30678,0.18224,-0.057025,0.034854,604.61
30687,0.18106,-0.060150999999999996,0.028529000000000002,603.2
1082,0.19321,-0.0020448,-0.079046,619.42
1145,0.19187,0.0016666,-0.08339400000000001,618.58
1198,0.18123,-0.0039031,-0.099589,602.93
1216,0.1797,0.00097391,-0.089153,601.06
13890,0.19311,0.013663999999999999,-0.06552100000000001,616.14
13894,0.19329000000000002,0.012901,-0.077559,615.43
13901,0.18957000000000002,0.0067459,-0.090572,614.37
13908,0.18930999999999998,0.013552000000000002,-0.055617999999999994,612.34
13920,0.18779,0.013241999999999999,-0.055901,610.37
13965,0.18200999999999998,0.0049258,-0.062783,604.16
30602,0.1926,-0.012243,0.085285,616.47
30612,0.19061,-0.005998300000000001,0.071494,615.41
30633,0.18858,-0.03327,0.086859,611.29
30638,0.18807000000000001,-0.032188999999999995,0.065099,611.1
30639,0.18828,-0.042962,0.071362,610.95
30652,0.18611,-0.037685,0.060070000000000005,608.71
30668,0.18352000000000002,-0.043394999999999996,0.06882200000000001,605.59
45251,0.18787,0.004532899999999999,0.068627,611.29
1088,0.19257,-0.021200999999999998,-0.037619,619.36
1103,0.19242,-0.012020999999999999,-0.028199000000000002,615.8
1116,0.1902,-0.03267,-0.048103,613.99
1124,0.18900999999999998,-0.057447000000000005,-0.040335,612.2
1143,0.18608,-0.044596,-0.025772000000000003,609.72
1151,0.18505,-0.02238,-0.024335,608.45
1153,0.18469000000000002,-0.034115,-0.025425,608.57
1155,0.18475,-0.016343,-0.030931,607.82
1182,0.18268,-0.041468,-0.055327999999999995,605.02
1186,0.18242,-0.043602999999999996,-0.043874,604.05
1136,0.18734,-0.021721,-0.0084225,609.52
1191,0.18193,-0.002212,-0.015681999999999998,604.28
13956,0.19235,0.0031503,0.00085182,615.27
30600,0.19274000000000002,-0.0033313,0.016079,616.78
30624,0.19014,-0.022486000000000003,0.013673,613.69
30648,0.18617999999999998,-0.0044621,0.024297,609.2
30672,0.18356,-0.015976,0.013941,605.44
30673,0.18320999999999998,-0.036218,0.011885,605.59
30677,0.18244000000000002,-0.010793,0.023258,604.43
30688,0.18077000000000001,-0.01051,0.011821,602.65
1093,0.19243,-0.096813,-0.0034668,617.66
1106,0.19084,-0.099717,-0.023419,616.32
1137,0.18574000000000002,-0.12741,-0.015222999999999999,610.61
1148,0.18517,-0.10380999999999999,-0.012881,607.93
1150,0.18531,-0.10265999999999999,-0.008506999999999999,607.7
1195,0.19218,-0.12624000000000002,-0.0031281,616.83
1205,0.18018,-0.12163,-0.0062654,601.51
45167,0.19161,0.11980999999999999,0.045696,619.58
45184,0.19205,0.090875,0.050098000000000004,616.12
45192,0.18897,0.095576,0.085631,616.63
45199,0.1888,0.10379000000000001,0.073674,614.59
45211,0.18807000000000001,0.10294,0.044102999999999996,612.17
45215,0.18724000000000002,0.08598099999999999,0.057614,610.24
45225,0.18611,0.09456200000000001,0.049934,609.04
45256,0.18316,0.11225999999999998,0.036141,605.21
45258,0.1825,0.086616,0.039925,605.05
45266,0.18134,0.085674,0.037459,603.71
13927,0.18667,0.064577,-0.010795,611.03
13939,0.1864,0.08631699999999999,-0.001342,608.87
13969,0.18153,0.083389,-0.012802000000000001,604.03
45175,0.19147999999999998,0.060002999999999994,0.0032973,618.45
45221,0.18592999999999998,0.09141200000000001,0.010740000000000001,609.47
45233,0.18450999999999998,0.06755599999999999,0.007341899999999999,608.72
45259,0.18472,0.083826,0.00070969,607.26
45264,0.18172,0.08797,0.009142200000000001,603.81
45274,0.18061,0.068398,0.006516199999999999,602.49
45281,0.17970999999999998,0.055002999999999996,0.0019422,600.84
1097,0.19319,-0.065462,-0.056808000000000004,615.47
1105,0.19213,-0.067517,-0.027922000000000002,615.52
1125,0.18884,-0.08200199999999999,-0.053266999999999995,612.44
1130,0.18796,-0.07248500000000001,-0.027464999999999996,611.64
1138,0.18677,-0.086221,-0.030091000000000003,609.55
1161,0.18442,-0.07181799999999999,-0.050339999999999996,606.78
1166,0.18353,-0.080805,-0.059925,606.45
1180,0.18265,-0.079026,-0.029682,604.97
45174,0.19155999999999998,0.058211,0.021957,618.59
45188,0.19091,0.042393,0.022428999999999998,616.07
45198,0.19015,0.037898,0.014944999999999998,613.7
45204,0.18991,0.061459,0.031307,612.63
45206,0.18861,0.052372,0.024075,613.52
45210,0.18861,0.034696,0.01139,611.41
45231,0.18495999999999999,0.05121900000000001,0.016923,609.15
45232,0.18523,0.055649000000000004,0.030956,607.61
45272,0.18069000000000002,0.064697,0.018392,602.82
45276,0.18024,0.061833000000000006,0.018878,602.01
13892,0.19134,0.069,-0.030175,617.94
13915,0.18818,0.074273,-0.061011,611.98
13922,0.18703,0.07599500000000001,-0.037104000000000005,611.51
13926,0.18669000000000002,0.084731,-0.032618,610.7
13928,0.18672,0.066063,-0.049387,609.95
13931,0.1869,0.0591,-0.031045999999999997,610.51
13932,0.18684,0.045849,-0.031522,610.03
13966,0.18195,0.083424,-0.029358999999999996,604.19
13983,0.18006,0.069215,-0.059088999999999996,601.61
1118,0.18904,-0.017937,-0.066139,613.78
1128,0.18867,-0.046648,-0.077155,612.43
1131,0.18757000000000001,-0.045155,-0.06629199999999999,611.93
1146,0.18539,-0.052824,-0.06541799999999999,608.49
1147,0.18487,-0.029044,-0.068698,608.78
1152,0.1848,-0.0097168,-0.058297,608.1
1156,0.18442,-0.022014,-0.071698,607.65
1164,0.184,-0.031719,-0.075917,606.9
1177,0.18312,-0.031591,-0.062515,605.82
1184,0.1823,-0.035998,-0.074258,605.08
13910,0.18943,0.11254000000000002,-0.0031372,611.91
13940,0.18600000000000003,0.10094,-0.019015,610.06
13957,0.1835,0.10592,-0.006951000000000001,606.35
13982,0.18015,0.095125,-0.024197,601.7
13985,0.18907000000000002,0.12674000000000002,0.00046109,613.7
13986,0.17967,0.10067999999999999,-0.011461,601.19
13988,0.17931,0.11715999999999999,-0.018826,600.8
45205,0.18997,0.1149,0.01625,612.42
45213,0.18752,0.111,0.0035643000000000003,610.33
45214,0.18844,0.1094,0.0021549,611.44
45176,0.19304000000000002,0.0404,0.057880999999999995,618.06
45177,0.19289,0.048026,0.045057,617.11
45178,0.19189,0.056292999999999996,0.05731699999999999,617.4
45181,0.1908,0.050884,0.05499,617.06
45203,0.18887,0.056053,0.05586699999999999,613.77
45207,0.18921,0.07235499999999999,0.047775,612.27
45234,0.1852,0.067133,0.054199000000000004,607.65
45237,0.18461,0.030593000000000002,0.061466999999999994,608.19
45239,0.18432,0.038707,0.06665499999999999,607.73
45240,0.18417999999999998,0.042954,0.048706,607.63
1123,0.18877,-0.00079307,-0.030393,613.04
1168,0.19257,0.0011163,-0.031287,617.51
1218,0.18742999999999999,0.0014401,-0.031296,611.34
13921,0.18818,0.0020364999999999997,-0.036732,611.92
13933,0.18728,0.022573,-0.039905,609.12
13948,0.18556,0.018667,-0.03329,607.55
13955,0.18389,0.016365,-0.044293,605.9
13958,0.18349000000000001,0.020152,-0.035254,605.53
30606,0.19249000000000002,-0.0050918,0.046116000000000004,616.14
45180,0.19314,0.023087,0.046761000000000004,616.1
45197,0.18934,0.027556,0.03315,614.79
45202,0.18984,0.011165000000000001,0.034279000000000004,613.43
45220,0.18687,0.018937,0.04336,609.04
45241,0.18473,0.012451,0.047613,606.7
45250,0.1836,0.0054093000000000006,0.023507,605.79
45260,0.18286,0.010264,0.05309,604.76
45261,0.18263,0.009015500000000001,0.040506,604.33
45265,0.18165,0.021408,0.028071,603.97
1098,0.1921,-0.073192,-0.070985,616.91
1104,0.19084,-0.083187,-0.095968,616.2
1110,0.19132000000000002,-0.078676,-0.094399,613.95
1113,0.18805,-0.086089,-0.095853,616.08
1144,0.18617999999999998,-0.066696,-0.092588,608.87
1175,0.18331,-0.066521,-0.08371,605.93
1179,0.18273,-0.073664,-0.10372,605.36
