"Index","Points:0","Points:1","Points:2","T"
72206,0.20182,0.10733,0.031789,624.38
72230,0.19865,0.11057,0.024915,621.07
72261,0.19529000000000002,0.12858,0.00097445,640.15
72291,0.18892,0.10444,0.016661000000000002,612.84
72295,0.18913,0.12040999999999999,0.024939,611.23
72296,0.18761,0.1254,0.024579,612.98
957,0.20306,-0.003975800000000001,-0.12892,684.08
1755,0.1976,-0.00014356,-0.11696,619.96
1794,0.18761,-0.011648,-0.12843,616.07
1834,0.1857,-0.0060125,-0.11834000000000001,608.19
20846,0.19785999999999998,0.0059373,-0.12859,646.18
20935,0.19969,0.012953999999999999,-0.12768,637.69
21079,0.19267,0.010856000000000001,-0.10036,618.71
21086,0.19230999999999998,0.013391,-0.10532000000000001,616.55
21114,0.1889,0.010862,-0.11035,611.79
21162,0.18311,0.02428,-0.09933600000000001,606.04
1753,0.19499,-3.202e-05,-0.099883,620.94
1777,0.19347,-0.014695,-0.1066,616.53
1778,0.19322999999999999,-0.031854,-0.069977,615.65
1779,0.1927,-0.029832,-0.08341799999999999,616.54
1796,0.18989,-0.020056,-0.099659,615.45
1797,0.19057000000000002,-0.014846999999999999,-0.093578,614.97
1806,0.18925999999999998,-0.0060044,-0.093075,613.15
1815,0.18812,-0.032518,-0.087248,611.46
1833,0.18600999999999998,-0.025639999999999996,-0.086117,609.07
1839,0.18545,-0.020995,-0.093971,608.93
49773,0.20279,-0.032359,0.019543,629.18
49799,0.19998,-0.037025,0.020087999999999998,626.71
49803,0.2009,-0.039365,0.027175,626.57
49828,0.19945,-0.032723,0.039943,623.04
49874,0.19145,-0.029276,0.029543,615.34
49888,0.19007000000000002,-0.02647,0.048007999999999995,612.97
49900,0.18805999999999998,-0.038532,0.043518,612.69
49906,0.18752,-0.03936,0.036482,611.49
49931,0.18369000000000002,-0.038394,0.032119999999999996,606.39
49946,0.18207,-0.035901,0.014677,604.31
1750,0.19717,-0.010924,-0.021641999999999998,619.93
1754,0.1972,-0.0073598,-0.0087735,619.21
1771,0.19297999999999998,-0.010606,-0.034559,618.34
1784,0.19175999999999999,-0.016281999999999998,-0.034148000000000005,616.6
1800,0.19075999999999999,-0.018085,-0.015853,613.32
1802,0.19021,-0.00080951,-0.015854,613.32
1823,0.18691,-0.011923,-0.029401,610.68
1836,0.18557,-0.027032999999999998,-0.017621,608.25
1877,0.18124,-0.011255,-0.037521,603.28
1883,0.18056,-0.013855000000000001,-0.029802,602.66
20349,0.20047,0.12305999999999999,-0.038439,675.41
20667,0.19893,0.1272,-0.021006999999999998,659.85
20998,0.20082,0.12389000000000001,-0.028945,629.69
21039,0.19944,0.11304000000000002,-0.038626,623.02
21071,0.19516,0.11107,-0.041743,617.94
21081,0.19372999999999999,0.11389,-0.039923,616.92
21082,0.19322,0.1047,-0.025544999999999998,616.12
21083,0.19238,0.09786900000000001,-0.034291,617.09
21093,0.19097999999999998,0.089934,-0.034735,615.87
21098,0.19066,0.093016,-0.027263,614.98
1884,0.18581,-0.0011197000000000002,0.0013448,608.49
1887,0.18447,-0.016673,0.00018095,606.36
21047,0.19638,0.012618,-0.0053083,622.2
21066,0.19568,0.0044711,-0.0030402,619.43
21087,0.19159,0.0098284,-0.0058658,616.67
21115,0.19229000000000002,0.014297,0.0010815999999999998,617.79
21121,0.18807000000000001,0.0054916,-0.011345000000000001,612.21
21128,0.18803,0.0037356000000000004,-0.0060831,611.72
21164,0.18406,0.003676,-0.0032378,606.4
21174,0.18107,0.004196500000000001,-0.011437000000000001,603.22
1811,0.18854,-0.10138,-0.019962,611.28
1821,0.19510999999999998,-0.12653,-0.0040367,621.95
