"active","origId","typeId","origProcId","d","Ygas","rho","Yliquid","Cp","dTarget","nParticle","age","YH2O(l)","mass0","T","Ysolid","tTurb","UTurb:0","UTurb:1","UTurb:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
1,394,-1,48,1e-05,0,1000,1,4653.7,0,8.1859e+05,0.0091318,1,5.236e-13,501,0,0.00024878,1.0383,2.6653,3.1505,371.85,1.4148,2.3925,1.3225,0.041591,0.0027511
1,660,-1,48,1e-05,0,1000,1,5209.3,0,8.1875e+05,0.0085975,1,5.236e-13,551.26,0,0.0001552,0.86372,-0.35979,7.5579,375.33,-3.537,4.6009,1.114,0.042497,-0.0018938
1,1084,-1,16,1e-05,0,1000,1,7097.4,0,4.0919e+05,0.0078269,1,5.236e-13,625.74,0,0.00012158,-0.98008,0.31742,3.0689,395.17,-5.0252,2.3472,1.1206,0.0063856,-0.02818
1,863,-1,48,1e-05,0,1000,1,5908.2,0,4.0929e+05,0.0081755,1,5.236e-13,586.93,0,4.7611e-06,-2.6039,7.1766,1.6244,336.95,-33.678,1.835,0.96874,0.046459,-0.0025025
1,613,-1,16,1e-05,0,1000,1,4882.5,0,8.1859e+05,0.0088154,1,5.236e-13,526.17,0,0.0005579,-0.15336,0.29726,0.45742,375.87,-0.69681,0.99237,1.26,0.040979,-0.0048128
1,396,-1,16,1e-05,0,1000,1,5324.3,0,4.0923e+05,0.009217,1,5.236e-13,558.37,0,0.00056429,5.7754,-9.4911,12.643,388.13,-7.1684,11.85,1.3087,-0.0038985,-0.031887
1,672,-1,16,1e-05,0,1000,1,5128,0,8.1875e+05,0.0086968,1,5.236e-13,545.78,0,3.3185e-05,-1.6884,0.67272,-0.39082,352.62,-2.7699,2.8998,1.0568,0.046349,-0.0047546
1,997,-1,8,1e-05,0,1000,1,5692.4,0,4.0929e+05,0.0080762,1,5.236e-13,577.52,0,6.7081e-05,-14.035,11.151,5.1068,360.68,2.189,7.1463,1.0524,0.010321,-0.044621
1,365,-1,48,1e-05,0,1000,1,5194,0,4.0923e+05,0.0091963,1,5.236e-13,550.25,0,4.1713e-05,-7.7533,2.3268,-6.8847,315.48,-22.423,28.702,0.93513,0.039429,-0.044713
1,174,-1,40,1e-05,0,1000,1,6499,0,8.1806e+05,0.0096539,1,5.236e-13,608.33,0,0.00018312,1.9769,2.0115,0.11896,404.14,8.8672,-2.0939,1.3085,-0.0016097,-0.0028718
1,1040,-1,16,1e-05,0,1000,1,7320.8,0,4.0919e+05,0.007921,1,5.236e-13,631.48,0,9.1953e-05,-0.88436,-0.80716,0.25195,385.9,0.070992,6.5529,1.0541,-0.00050439,-0.033503
